pair,matcher,param_num_disparities,param_block_size,param_p1,param_p2,param_uniqueness_ratio,param_mode_hh,mae,rmse,bad_0_5,bad_1_0,bad_3_0,density,evaluated,gt_valid,elapsed_ms
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,5,False,0.3313758456278337,1.4833480119738296,0.006017037251999251,0.005631329735845452,0.005631329735845452,0.9542449523275378,272227,285280,70.148875
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,5,True,0.23112684660596658,0.4313156192666175,0.0008005287896592244,0.0003268213866039953,0.0003194770857814336,0.9545709478407179,272320,285280,93.92812499999992
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,10,False,0.3355088245038416,1.5126446297482594,0.006217045433668314,0.005834910253348276,0.005834910253348276,0.9539925687044307,272155,285280,73.81608300000009
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,10,True,0.2339257830946057,0.4907477015555516,0.0009437495868800447,0.00047003870474959423,0.00047003870474959423,0.9545639371845205,272318,285280,102.61500000000012
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,15,False,0.3343556565253222,1.5054060325318737,0.006143517871717758,0.005772186151165099,0.005772186151165099,0.9534282108805384,271994,285280,75.54008300000037
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,15,True,0.23637227004005523,0.5397740935842135,0.0010612709545930264,0.0005948992894258487,0.0005948992894258487,0.9545534212002244,272315,285280,126.96420799999997
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,5,False,0.40504412534559225,1.9200029062281947,0.00982371741824909,0.009481671098557153,0.009481671098557153,0.9530741727425687,271893,285280,88.50054200000024
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,5,True,0.22613988908841665,0.29499881202052686,0.0005544947121034077,6.242655699177439e-05,5.508225616921269e-05,0.9545709478407179,272320,285280,82.20629199999996
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,10,False,0.38850432930710666,1.8357312498040437,0.008904056579087997,0.008572365729701442,0.008572365729701442,0.9511252103196859,271337,285280,70.11145799999996
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,10,True,0.22710956175692734,0.3265297116784409,0.0005728617750636207,0.00010649353510798078,0.00010649353510798078,0.9545604318564218,272317,285280,98.52337500000007
