pair,matcher,param_num_disparities,param_block_size,param_p1,param_p2,param_uniqueness_ratio,param_mode_hh,mae,rmse,bad_0_5,bad_1_0,bad_3_0,density,evaluated,gt_valid,elapsed_ms
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,5,False,0.3313758456278337,1.4833480119738296,0.006017037251999251,0.005631329735845452,0.005631329735845452,0.9542449523275378,272227,285280,32.910208
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,5,True,0.23112684660596658,0.4313156192666175,0.0008005287896592244,0.0003268213866039953,0.0003194770857814336,0.9545709478407179,272320,285280,45.93579199999998
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,10,False,0.3355088245038416,1.5126446297482594,0.006217045433668314,0.005834910253348276,0.005834910253348276,0.9539925687044307,272155,285280,32.92554199999997
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,10,True,0.2339257830946057,0.4907477015555516,0.0009437495868800447,0.00047003870474959423,0.00047003870474959423,0.9545639371845205,272318,285280,45.717000000000006
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,15,False,0.3343556565253222,1.5054060325318737,0.006143517871717758,0.005772186151165099,0.005772186151165099,0.9534282108805384,271994,285280,32.925209000000066
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,800,15,True,0.23637227004005523,0.5397740935842135,0.0010612709545930264,0.0005948992894258487,0.0005948992894258487,0.9545534212002244,272315,285280,45.68191700000001
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,5,False,0.40504412534559225,1.9200029062281947,0.00982371741824909,0.009481671098557153,0.009481671098557153,0.9530741727425687,271893,285280,33.82204199999994
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,5,True,0.22613988908841665,0.29499881202052686,0.0005544947121034077,6.242655699177439e-05,5.508225616921269e-05,0.9545709478407179,272320,285280,47.14437500000002
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,10,False,0.38850432930710666,1.8357312498040437,0.008904056579087997,0.008572365729701442,0.008572365729701442,0.9511252103196859,271337,285280,33.268874999999866
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,10,True,0.22710956175692734,0.3265297116784409,0.0005728617750636207,0.00010649353510798078,0.00010649353510798078,0.9545604318564218,272317,285280,45.891833999999854
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,15,False,0.3412585739050277,1.5555920044327256,0.006429749987051711,0.006100493514757349,0.006100493514757349,0.9475112170499159,270306,285280,33.34687500000011
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,15,True,0.2288615363720256,0.3756010177712372,0.0006610186297083806,0.00019830558891251418,0.00019830558891251418,0.9545253785754346,272307,285280,45.98658399999999
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,5,False,0.5672515640937961,2.63687759124582,0.01833205950442517,0.017996064053286662,0.017996064053286662,0.9493725462703309,270837,285280,33.04170800000006
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,5,True,0.22600049220296947,0.29201350862076325,0.0005434782608695652,5.141010575793184e-05,4.4065804935370154e-05,0.9545709478407179,272320,285280,46.00349999999986
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,10,False,0.45879847987260275,2.1932216596124112,0.012527036434503888,0.012199434887331127,0.012199434887331127,0.941597728547392,268619,285280,33.209000000000046
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,10,True,0.2278990199311893,0.34567004833129183,0.0006242884947302706,0.00015423598105100805,0.00015423598105100805,0.9545358945597308,272310,285280,46.281833000000105
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,15,False,0.3703290218982833,1.738660771080079,0.00792867939105942,0.00758362806467462,0.00758362806467462,0.9346151149747617,266627,285280,33.348667000000276
